frame, face_id, timestamp, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1032,0,17.776,0.88,0.0,0.0,0.56,0.0,0.0,1.71,0.0,0.27,0.36,0.0,0.34,2.26,0.0,0.0,0.0,0.51,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1034,0,17.81,0.88,0.0,0.0,0.48,0.0,0.0,1.54,0.0,0.12,0.36,0.05,0.18,2.13,0.0,0.0,0.0,0.51,0.11,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1036,0,17.845,0.88,0.0,0.0,0.59,0.0,0.0,1.81,0.0,0.07,0.45,0.13,0.29,2.05,0.0,0.0,0.0,0.55,0.24,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1038,0,17.879,0.88,0.0,0.0,0.62,0.0,0.0,1.52,0.0,0.07,0.45,0.28,0.26,1.97,0.0,0.02,0.0,0.42,0.1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1040,0,17.913,0.88,0.0,0.0,0.71,0.0,0.0,1.46,0.0,0.01,0.37,0.1,0.18,1.85,0.0,0.05,0.0,0.47,0.07,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1041,0,17.931,0.88,0.0,0.0,0.74,0.0,0.0,1.53,0.0,0.0,0.35,0.13,0.19,1.82,0.0,0.05,0.0,0.4,0.17,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1042,0,17.948,0.88,0.0,0.0,0.7,0.0,0.0,1.64,0.0,0.01,0.32,0.12,0.13,1.79,0.0,0.04,0.0,0.24,0.21,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1043,0,17.965,0.88,0.0,0.0,0.72,0.0,0.0,1.85,0.0,0.01,0.3,0.17,0.11,1.83,0.0,0.03,0.0,0.08,0.33,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1044,0,17.982,0.88,0.0,0.0,0.64,0.0,0.0,1.8,0.0,0.07,0.36,0.2,0.06,1.8,0.0,0.05,0.0,0.08,0.22,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1045,0,18.0,0.88,0.0,0.0,0.58,0.0,0.0,1.84,0.0,0.06,0.42,0.27,0.04,1.85,0.0,0.09,0.0,0.03,0.18,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1046,0,18.017,0.88,0.0,0.0,0.59,0.0,0.0,1.75,0.0,0.06,0.44,0.25,0.08,1.91,0.06,0.09,0.0,0.07,0.18,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1047,0,18.034,0.88,0.0,0.0,0.64,0.0,0.0,1.79,0.0,0.07,0.44,0.23,0.09,1.98,0.06,0.1,0.0,0.13,0.21,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1048,0,18.051,0.88,0.0,0.0,0.61,0.0,0.0,1.68,0.0,0.1,0.45,0.19,0.16,1.98,0.06,0.1,0.0,0.13,0.33,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1049,0,18.069,0.88,0.0,0.0,0.59,0.0,0.0,1.8,0.0,0.1,0.42,0.12,0.08,1.98,0.0,0.09,0.0,0.09,0.23,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1050,0,18.086,0.88,0.0,0.0,0.59,0.0,0.0,1.91,0.0,0.04,0.42,0.05,0.15,1.99,0.0,0.07,0.0,0.05,0.18,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1051,0,18.103,0.88,0.0,0.0,0.55,0.0,0.0,1.92,0.0,0.0,0.41,0.02,0.08,1.96,0.0,0.05,0.0,0.06,0.17,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1052,0,18.12,0.88,0.0,0.0,0.53,0.0,0.0,1.87,0.0,0.0,0.4,0.04,0.11,1.95,0.02,0.04,0.0,0.16,0.2,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1053,0,18.138,0.88,0.0,0.0,0.55,0.0,0.0,1.78,0.0,0.0,0.37,0.04,0.05,2.01,0.02,0.03,0.0,0.13,0.31,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1054,0,18.155,0.88,0.0,0.0,0.57,0.0,0.0,1.75,0.0,0.0,0.35,0.05,0.12,2.03,0.02,0.04,0.0,0.24,0.31,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1055,0,18.172,0.88,0.0,0.0,0.56,0.0,0.0,1.72,0.0,0.0,0.39,0.1,0.13,1.97,0.0,0.09,0.0,0.2,0.3,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1056,0,18.189,0.88,0.0,0.0,0.52,0.0,0.0,1.65,0.0,0.01,0.43,0.1,0.12,1.87,0.0,0.11,0.0,0.3,0.17,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1057,0,18.207,0.88,0.0,0.0,0.6,0.0,0.0,1.72,0.0,0.01,0.46,0.08,0.16,1.78,0.0,0.09,0.0,0.19,0.05,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1058,0,18.224,0.88,0.0,0.0,0.6,0.01,0.0,1.61,0.0,0.01,0.45,0.02,0.16,1.69,0.0,0.09,0.0,0.14,0.0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
1059,0,18.241,0.88,0.0,0.0,0.59,0.01,0.0,1.5,0.0,0.0,0.42,0.02,0.15,1.61,0.0,0.13,0.0,0.13,0.0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
1060,0,18.258,0.88,0.0,0.0,0.58,0.01,0.0,1.59,0.0,0.01,0.37,0.02,0.04,1.67,0.08,0.14,0.0,0.27,0.0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
