 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0.12,0.18,0.0,0.0,0.0,0.98,0.0,0.04,0.27,0.09,0.5,1.25,0.0,0.0,0.27,0.37,0.0
0.32,0.38,0.0,0.0,0.0,0.6,0.0,0.23,0.56,0.1,0.6,1.32,0.0,0.0,0.33,0.23,0.0
0.42,0.17,0.0,0.0,0.0,0.98,0.0,0.39,0.69,0.0,0.76,1.4,0.0,0.0,0.45,0.24,0.0
0.51,0.2,0.0,0.0,0.0,1.13,0.0,0.28,0.64,0.0,0.42,1.08,0.0,0.0,0.66,0.06,0.0
0.68,0.12,0.0,0.0,0.0,1.04,0.0,0.3,0.6,0.0,0.42,0.92,0.0,0.0,0.45,0.0,0.0
0.62,0.07,0.0,0.04,0.0,1.05,0.0,0.27,0.6,0.01,0.56,0.91,0.0,0.0,0.24,0.0,0.0
0.47,0.07,0.01,0.04,0.0,0.93,0.0,0.12,0.43,0.04,0.73,0.98,0.0,0.0,0.16,0.01,0.0
0.26,0.01,0.01,0.04,0.0,0.76,0.0,0.0,0.36,0.09,0.82,0.88,0.0,0.02,0.11,0.04,0.0
0.1,0.01,0.01,0.0,0.0,0.68,0.0,0.0,0.33,0.2,0.88,0.93,0.0,0.04,0.15,0.04,0.0
0.12,0.05,0.0,0.03,0.0,0.68,0.0,0.0,0.43,0.25,0.83,0.8,0.0,0.07,0.23,0.05,0.0
0.32,0.12,0.0,0.04,0.0,0.85,0.0,0.05,0.48,0.35,0.66,0.85,0.0,0.05,0.17,0.02,0.0
0.54,0.19,0.0,0.08,0.0,0.94,0.0,0.08,0.54,0.35,0.57,0.89,0.0,0.03,0.15,0.02,0.0
0.64,0.37,0.0,0.07,0.0,1.08,0.0,0.1,0.57,0.38,0.48,1.04,0.0,0.01,0.01,0.0,0.0
0.63,0.36,0.0,0.07,0.0,0.99,0.0,0.14,0.64,0.24,0.46,1.0,0.0,0.01,0.03,0.0,0.0
0.65,0.37,0.0,0.03,0.0,0.88,0.0,0.13,0.65,0.23,0.35,0.99,0.0,0.01,0.06,0.0,0.0
0.68,0.23,0.0,0.0,0.0,0.69,0.0,0.11,0.64,0.23,0.29,0.97,0.0,0.0,0.06,0.0,0.0
0.62,0.2,0.0,0.02,0.0,0.86,0.0,0.02,0.58,0.27,0.26,0.96,0.0,0.0,0.05,0.0,0.0
0.55,0.15,0.0,0.09,0.0,0.86,0.0,0.0,0.53,0.17,0.4,1.05,0.11,0.0,0.0,0.0,0.0
0.46,0.07,0.0,0.09,0.0,0.98,0.0,0.0,0.51,0.06,0.61,0.93,0.11,0.01,0.0,0.0,0.0
0.51,0.12,0.0,0.13,0.0,0.87,0.0,0.0,0.5,0.0,0.66,0.9,0.14,0.01,0.0,0.0,0.0
0.56,0.13,0.0,0.14,0.0,0.91,0.0,0.0,0.51,0.0,0.68,0.89,0.02,0.02,0.0,0.0,0.0
0.59,0.21,0.0,0.14,0.0,0.83,0.0,0.0,0.51,0.0,0.47,0.91,0.02,0.01,0.0,0.0,0.0
0.58,0.16,0.0,0.12,0.0,0.84,0.0,0.0,0.47,0.03,0.41,0.96,0.0,0.01,0.0,0.0,0.0
0.6,0.21,0.0,0.04,0.0,0.83,0.0,0.0,0.44,0.03,0.17,0.82,0.0,0.0,0.0,0.0,0.0
0.6,0.22,0.0,0.04,0.0,0.93,0.0,0.0,0.41,0.03,0.26,0.82,0.0,0.0,0.0,0.01,0.0
0.57,0.42,0.0,0.0,0.0,0.85,0.0,0.0,0.36,0.02,0.18,0.69,0.0,0.0,0.0,0.01,0.0
0.5,0.57,0.0,0.0,0.0,0.78,0.0,0.0,0.34,0.02,0.22,0.68,0.0,0.0,0.0,0.01,0.0
0.48,0.62,0.0,0.0,0.0,0.91,0.0,0.0,0.33,0.05,0.11,0.69,0.0,0.0,0.0,0.01,0.0
0.3,0.39,0.0,0.0,0.06,1.27,0.0,0.0,0.35,0.04,0.32,0.69,0.0,0.0,0.0,0.01,0.11
0.14,0.15,0.03,0.0,0.14,1.71,0.0,0.0,0.39,0.04,0.58,0.6,0.04,0.01,0.0,0.01,0.37
0.0,0.0,0.06,0.0,0.28,1.9,0.0,0.0,0.43,0.01,0.78,0.36,0.06,0.01,0.0,0.0,0.69
0.0,0.0,0.12,0.0,0.39,1.97,0.0,0.0,0.53,0.01,0.83,0.14,0.18,0.03,0.0,0.0,0.95
0.0,0.0,0.09,0.0,0.51,1.95,0.0,0.0,0.52,0.14,0.68,0.05,0.32,0.06,0.0,0.0,0.89
0.0,0.0,0.05,0.0,0.45,1.99,0.0,0.0,0.49,0.15,0.77,0.05,0.43,0.12,0.04,0.0,0.59
0.02,0.0,0.0,0.0,0.3,1.92,0.0,0.0,0.41,0.21,0.72,0.09,0.32,0.16,0.1,0.0,0.22
0.07,0.08,0.0,0.0,0.1,1.81,0.0,0.0,0.37,0.19,0.71,0.15,0.24,0.15,0.1,0.0,0.03
0.11,0.17,0.0,0.0,0.02,1.44,0.0,0.0,0.34,0.18,0.68,0.2,0.18,0.11,0.06,0.0,0.02
0.16,0.25,0.0,0.03,0.0,1.09,0.0,0.0,0.29,0.21,0.66,0.27,0.25,0.07,0.0,0.0,0.02
0.27,0.35,0.0,0.06,0.0,0.95,0.0,0.0,0.27,0.14,0.71,0.25,0.24,0.05,0.0,0.0,0.0
0.39,0.29,0.0,0.06,0.0,0.97,0.0,0.0,0.21,0.24,0.53,0.29,0.37,0.03,0.0,0.0,0.0
0.49,0.38,0.0,0.04,0.0,1.1,0.0,0.0,0.19,0.2,0.61,0.27,0.44,0.02,0.07,0.0,0.0
0.52,0.28,0.0,0.0,0.0,0.86,0.0,0.0,0.11,0.21,0.72,0.23,0.58,0.01,0.15,0.0,0.0
0.43,0.31,0.0,0.02,0.0,0.6,0.0,0.0,0.11,0.18,0.85,0.17,0.56,0.01,0.2,0.0,0.08
0.34,0.27,0.0,0.02,0.0,0.43,0.0,0.0,0.11,0.16,0.8,0.1,0.57,0.02,0.14,0.0,0.09
0.23,0.19,0.0,0.02,0.0,0.48,0.0,0.0,0.15,0.21,0.64,0.1,0.47,0.05,0.06,0.0,0.14
0.22,0.25,0.0,0.09,0.0,0.63,0.0,0.0,0.2,0.27,0.55,0.13,0.48,0.11,0.02,0.0,0.09
0.17,0.15,0.0,0.19,0.0,0.56,0.0,0.0,0.24,0.28,0.45,0.18,0.44,0.17,0.02,0.0,0.14
0.21,0.16,0.0,0.32,0.0,0.57,0.0,0.0,0.26,0.33,0.47,0.17,0.51,0.15,0.02,0.0,0.18
0.21,0.13,0.0,0.33,0.0,0.55,0.0,0.0,0.26,0.33,0.47,0.14,0.44,0.11,0.0,0.0,0.16
0.25,0.13,0.0,0.34,0.0,0.65,0.0,0.0,0.26,0.46,0.51,0.14,0.39,0.08,0.0,0.0,0.21
0.23,0.11,0.0,0.25,0.0,0.53,0.0,0.0,0.27,0.45,0.45,0.15,0.24,0.1,0.0,0.0,0.12
0.19,0.03,0.0,0.15,0.0,0.5,0.0,0.0,0.26,0.48,0.52,0.25,0.28,0.16,0.0,0.0,0.11
0.17,0.0,0.0,0.04,0.0,0.41,0.0,0.0,0.23,0.49,0.55,0.37,0.3,0.17,0.0,0.0,0.01
0.13,0.02,0.0,0.01,0.0,0.52,0.0,0.0,0.21,0.45,0.67,0.44,0.31,0.18,0.0,0.0,0.0
0.16,0.12,0.0,0.01,0.0,0.55,0.0,0.0,0.2,0.38,0.61,0.47,0.22,0.19,0.0,0.0,0.0
0.2,0.17,0.0,0.08,0.0,0.66,0.0,0.0,0.21,0.26,0.44,0.43,0.2,0.19,0.0,0.02,0.0
0.41,0.44,0.0,0.18,0.0,0.66,0.0,0.0,0.23,0.26,0.34,0.51,0.27,0.17,0.0,0.02,0.0
0.57,0.57,0.0,0.28,0.0,0.72,0.0,0.0,0.25,0.27,0.28,0.62,0.25,0.1,0.0,0.13,0.0
0.62,0.59,0.0,0.2,0.0,0.7,0.0,0.0,0.28,0.34,0.43,0.82,0.24,0.09,0.0,0.1,0.0
0.59,0.4,0.0,0.26,0.0,0.76,0.0,0.0,0.31,0.29,0.33,0.92,0.14,0.06,0.0,0.1,0.0
0.52,0.24,0.0,0.2,0.0,0.92,0.0,0.04,0.39,0.26,0.27,0.99,0.09,0.09,0.0,0.0,0.0
0.56,0.27,0.0,0.3,0.0,1.06,0.0,0.04,0.43,0.21,0.1,1.1,0.03,0.06,0.0,0.01,0.0
0.62,0.32,0.0,0.27,0.0,1.23,0.0,0.07,0.48,0.21,0.06,1.16,0.0,0.06,0.04,0.01,0.0
0.69,0.36,0.0,0.25,0.0,1.19,0.0,0.02,0.45,0.2,0.06,1.19,0.0,0.02,0.04,0.01,0.0
0.73,0.35,0.0,0.18,0.0,1.13,0.0,0.04,0.46,0.12,0.1,1.15,0.0,0.0,0.04,0.0,0.0
0.69,0.32,0.0,0.05,0.0,1.03,0.0,0.03,0.43,0.06,0.19,1.24,0.0,0.0,0.0,0.0,0.0
0.65,0.21,0.0,0.04,0.0,1.12,0.0,0.09,0.41,0.0,0.13,1.36,0.0,0.0,0.0,0.01,0.0
0.67,0.12,0.0,0.06,0.0,1.34,0.0,0.11,0.4,0.0,0.13,1.42,0.0,0.0,0.0,0.01,0.0
0.69,0.05,0.0,0.06,0.0,1.61,0.0,0.13,0.39,0.0,0.08,1.54,0.0,0.0,0.0,0.01,0.0
0.72,0.05,0.0,0.05,0.0,1.67,0.0,0.12,0.37,0.0,0.16,1.62,0.0,0.0,0.01,0.0,0.06
0.68,0.12,0.0,0.0,0.0,1.69,0.0,0.09,0.34,0.0,0.12,1.49,0.0,0.0,0.01,0.0,0.1
0.58,0.07,0.0,0.01,0.0,1.52,0.0,0.05,0.31,0.0,0.08,1.42,0.0,0.0,0.08,0.04,0.16
0.44,0.07,0.0,0.05,0.0,1.41,0.0,0.0,0.33,0.0,0.17,1.22,0.0,0.0,0.07,0.04,0.11
0.29,0.01,0.0,0.16,0.0,1.22,0.0,0.0,0.34,0.0,0.3,1.22,0.0,0.0,0.09,0.04,0.06
0.14,0.12,0.0,0.26,0.0,1.17,0.0,0.0,0.36,0.06,0.52,1.1,0.0,0.04,0.05,0.0,0.0
0.12,0.12,0.0,0.25,0.0,1.06,0.0,0.0,0.38,0.12,0.67,0.93,0.0,0.06,0.15,0.0,0.0
0.05,0.11,0.0,0.17,0.0,1.06,0.0,0.0,0.4,0.21,0.82,0.82,0.0,0.07,0.24,0.0,0.0
0.05,0.03,0.0,0.2,0.0,0.99,0.0,0.0,0.42,0.17,1.0,0.69,0.0,0.07,0.3,0.0,0.0
0.0,0.02,0.0,0.25,0.0,1.07,0.0,0.0,0.37,0.12,0.94,0.66,0.0,0.07,0.19,0.0,0.0
0.01,0.08,0.0,0.32,0.0,1.12,0.0,0.0,0.28,0.11,0.83,0.69,0.0,0.16,0.08,0.07,0.0
0.04,0.07,0.0,0.22,0.0,1.08,0.0,0.0,0.24,0.11,0.51,0.78,0.0,0.21,0.09,0.07,0.0
0.11,0.1,0.0,0.28,0.0,1.03,0.0,0.0,0.26,0.11,0.44,1.0,0.0,0.23,0.09,0.07,0.0
0.26,0.18,0.0,0.26,0.0,0.96,0.0,0.0,0.33,0.05,0.47,1.08,0.0,0.15,0.1,0.0,0.0
0.35,0.19,0.0,0.32,0.0,1.01,0.0,0.01,0.39,0.07,0.47,1.15,0.0,0.09,0.03,0.04,0.0
0.5,0.28,0.0,0.27,0.0,1.1,0.0,0.03,0.41,0.07,0.43,1.1,0.0,0.07,0.03,0.1,0.1
0.4,0.14,0.0,0.19,0.0,1.42,0.0,0.1,0.46,0.05,0.31,1.05,0.0,0.05,0.03,0.18,0.2
0.29,0.12,0.0,0.09,0.07,1.89,0.03,0.13,0.44,0.0,0.29,1.01,0.0,0.03,0.0,0.14,0.53
0.08,0.0,0.0,0.0,0.14,2.11,0.07,0.11,0.47,0.0,0.23,1.04,0.01,0.0,0.0,0.08,0.76
0.01,0.0,0.0,0.0,0.22,2.11,0.12,0.04,0.44,0.0,0.27,1.08,0.01,0.0,0.0,0.0,1.03
0.0,0.0,0.0,0.0,0.25,1.97,0.1,0.0,0.47,0.0,0.32,1.18,0.01,0.0,0.0,0.0,0.86
0.04,0.01,0.0,0.0,0.27,2.17,0.05,0.0,0.42,0.0,0.23,1.27,0.0,0.01,0.0,0.0,0.7
0.04,0.01,0.0,0.0,0.27,2.26,0.01,0.08,0.38,0.0,0.12,1.4,0.0,0.01,0.0,0.02,0.41
0.04,0.01,0.0,0.0,0.17,2.2,0.0,0.08,0.36,0.0,0.19,1.23,0.0,0.01,0.0,0.02,0.3
0.0,0.0,0.0,0.0,0.08,1.83,0.0,0.08,0.4,0.0,0.34,0.99,0.0,0.0,0.0,0.02,0.13
0.0,0.03,0.0,0.0,0.0,1.53,0.0,0.0,0.43,0.09,0.58,0.79,0.0,0.0,0.08,0.0,0.05
0.0,0.03,0.0,0.0,0.0,1.21,0.0,0.0,0.39,0.25,0.59,0.61,0.0,0.02,0.08,0.0,0.0
