frame, face_id, timestamp, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1742,0,30.016,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.21,1.13,0.0,0.0,0.54,0.72,1.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1744,0,30.051,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.08,0.99,0.0,0.0,0.62,0.67,1.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1746,0,30.085,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.01,0.88,0.0,0.0,0.65,0.72,1.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1748,0,30.12,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.06,0.8,0.0,0.0,0.68,0.79,0.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
1750,0,30.154,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.15,0.83,0.0,0.0,0.75,0.72,0.09,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1751,0,30.171,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.23,0.9,0.0,0.0,0.75,0.61,0.01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1752,0,30.189,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.3,1.02,0.0,0.0,0.77,0.59,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1753,0,30.206,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.27,1.0,0.0,0.0,0.79,0.6,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1754,0,30.223,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.27,1.05,0.0,0.0,0.75,0.59,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1755,0,30.24,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.28,1.0,0.0,0.0,0.69,0.59,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1756,0,30.258,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.18,0.0,0.0,0.0,0.31,1.03,0.0,0.0,0.62,0.54,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1757,0,30.275,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.14,0.0,0.0,0.0,0.32,1.12,0.0,0.0,0.6,0.61,0.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1758,0,30.292,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.12,0.0,0.0,0.0,0.31,1.25,0.0,0.0,0.56,0.6,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1759,0,30.309,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.3,1.33,0.0,0.0,0.59,0.64,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1760,0,30.327,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.27,1.33,0.0,0.0,0.56,0.71,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1761,0,30.344,0.98,0.0,0.0,0.0,0.05,0.0,0.0,0.21,0.0,0.0,0.0,0.27,1.34,0.0,0.0,0.51,0.76,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1762,0,30.361,0.98,0.0,0.0,0.0,0.05,0.0,0.0,0.21,0.0,0.0,0.0,0.3,1.29,0.0,0.0,0.47,0.8,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1763,0,30.378,0.98,0.0,0.0,0.0,0.08,0.0,0.0,0.27,0.0,0.0,0.0,0.37,1.3,0.0,0.0,0.41,0.77,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1764,0,30.396,0.98,0.0,0.0,0.0,0.03,0.0,0.0,0.28,0.0,0.0,0.0,0.36,1.19,0.0,0.0,0.54,0.74,0.0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
1765,0,30.413,0.98,0.0,0.0,0.0,0.03,0.0,0.0,0.3,0.0,0.0,0.0,0.33,1.31,0.0,0.03,0.53,0.74,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1766,0,30.43,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.28,1.25,0.0,0.07,0.58,0.77,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1767,0,30.447,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.26,1.3,0.0,0.15,0.41,0.76,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1768,0,30.464,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.22,1.36,0.0,0.19,0.23,0.77,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1769,0,30.482,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.26,1.54,0.0,0.26,0.16,0.74,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1770,0,30.499,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.27,1.72,0.0,0.35,0.12,0.73,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1771,0,30.516,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.35,1.81,0.0,0.44,0.15,0.71,0.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1772,0,30.533,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.08,0.0,0.0,0.01,0.28,1.82,0.0,0.53,0.08,0.7,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1773,0,30.551,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.07,0.0,0.0,0.06,0.32,1.83,0.0,0.58,0.08,0.7,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1774,0,30.568,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.12,0.3,1.79,0.0,0.64,0.05,0.61,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1775,0,30.585,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.18,0.29,1.83,0.0,0.7,0.03,0.58,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1776,0,30.602,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.34,1.94,0.0,0.78,0.0,0.55,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1777,0,30.62,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.44,2.07,0.0,0.85,0.0,0.58,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1778,0,30.637,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.51,2.14,0.0,0.9,0.0,0.66,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1779,0,30.654,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.47,2.12,0.0,0.92,0.0,0.66,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1780,0,30.671,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.39,2.07,0.0,0.92,0.0,0.72,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1781,0,30.689,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.19,0.34,2.03,0.0,0.9,0.04,0.7,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1782,0,30.706,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.12,0.34,1.95,0.0,0.86,0.06,0.7,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1783,0,30.723,0.98,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.04,0.33,1.92,0.0,0.82,0.13,0.66,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1784,0,30.74,0.98,0.0,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.05,0.37,1.94,0.0,0.8,0.1,0.56,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1785,0,30.758,0.98,0.0,0.0,0.0,0.04,0.0,0.0,0.06,0.0,0.0,0.08,0.36,1.96,0.0,0.8,0.11,0.64,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1786,0,30.775,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.11,0.36,1.93,0.0,0.77,0.1,0.74,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1787,0,30.792,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1,0.39,1.79,0.0,0.68,0.17,0.77,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1788,0,30.809,0.98,0.01,0.0,0.0,0.12,0.0,0.0,0.08,0.0,0.0,0.06,0.34,1.67,0.0,0.58,0.23,0.69,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1789,0,30.827,0.98,0.01,0.0,0.0,0.12,0.0,0.0,0.1,0.0,0.0,0.03,0.4,1.52,0.0,0.45,0.21,0.55,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1790,0,30.844,0.98,0.01,0.0,0.0,0.17,0.0,0.0,0.1,0.0,0.0,0.0,0.36,1.42,0.0,0.32,0.27,0.58,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
1791,0,30.861,0.98,0.0,0.0,0.0,0.06,0.0,0.0,0.08,0.0,0.0,0.0,0.39,1.35,0.0,0.16,0.31,0.62,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1792,0,30.878,0.98,0.0,0.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.0,0.41,1.43,0.0,0.09,0.39,0.7,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1793,0,30.895,0.98,0.0,0.0,0.0,0.03,0.0,0.0,0.18,0.0,0.0,0.0,0.43,1.52,0.0,0.02,0.49,0.71,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1794,0,30.913,0.98,0.0,0.0,0.0,0.03,0.0,0.0,0.2,0.0,0.0,0.0,0.51,1.6,0.0,0.02,0.5,0.67,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1795,0,30.93,0.98,0.01,0.0,0.0,0.03,0.0,0.0,0.25,0.0,0.0,0.0,0.55,1.6,0.0,0.0,0.63,0.65,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1796,0,30.947,0.98,0.02,0.0,0.0,0.07,0.0,0.0,0.31,0.0,0.0,0.0,0.63,1.59,0.0,0.0,0.63,0.66,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1797,0,30.964,0.98,0.02,0.0,0.0,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.65,1.57,0.0,0.0,0.7,0.66,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1798,0,30.982,0.98,0.03,0.0,0.0,0.07,0.0,0.0,0.33,0.0,0.0,0.0,0.69,1.5,0.0,0.0,0.7,0.71,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1799,0,30.999,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.6,1.47,0.0,0.0,0.71,0.71,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1800,0,31.016,0.98,0.01,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.46,1.43,0.0,0.0,0.68,0.72,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1801,0,31.033,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.27,1.47,0.0,0.0,0.59,0.63,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1802,0,31.051,0.98,0.06,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.23,1.51,0.0,0.0,0.5,0.64,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1803,0,31.068,0.98,0.09,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.27,1.6,0.0,0.0,0.47,0.64,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
1804,0,31.085,0.98,0.11,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.33,1.66,0.0,0.0,0.49,0.65,0.0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
