 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
0.54,0.0,0.22,0.0,1.12,1.8,0.3,0.21,1.08,1.25,0.26,0.49,0.06,0.25,0.0,0.0,0.01
0.56,0.0,0.2,0.0,1.08,1.92,0.32,0.17,1.09,1.37,0.08,0.53,0.0,0.27,0.0,0.0,0.0
0.49,0.0,0.2,0.0,1.07,1.91,0.31,0.16,1.07,1.32,0.05,0.54,0.0,0.29,0.0,0.0,0.0
0.55,0.0,0.3,0.0,1.09,2.06,0.35,0.22,1.06,1.36,0.15,0.67,0.0,0.25,0.0,0.0,0.0
0.58,0.0,0.22,0.0,1.15,2.25,0.34,0.18,1.07,1.48,0.09,0.63,0.05,0.22,0.0,0.0,0.0
0.57,0.0,0.24,0.0,1.15,2.2,0.35,0.2,1.06,1.51,0.14,0.58,0.06,0.22,0.0,0.0,0.0
0.56,0.0,0.26,0.0,1.14,2.13,0.31,0.2,1.08,1.45,0.2,0.62,0.06,0.22,0.0,0.0,0.0
0.52,0.0,0.29,0.0,1.12,2.06,0.27,0.21,1.09,1.44,0.32,0.58,0.04,0.21,0.0,0.0,0.0
0.53,0.0,0.27,0.0,1.12,1.99,0.25,0.2,1.07,1.45,0.32,0.61,0.02,0.23,0.0,0.0,0.0
0.49,0.0,0.29,0.0,1.15,2.05,0.22,0.22,1.05,1.42,0.38,0.65,0.01,0.22,0.0,0.0,0.0
0.48,0.0,0.25,0.0,1.15,2.06,0.24,0.18,1.03,1.44,0.37,0.67,0.0,0.22,0.0,0.0,0.0
0.46,0.0,0.23,0.0,1.11,2.09,0.19,0.21,1.05,1.44,0.44,0.68,0.0,0.23,0.0,0.0,0.0
0.49,0.0,0.23,0.0,1.05,2.05,0.19,0.14,1.04,1.42,0.36,0.7,0.01,0.23,0.0,0.0,0.0
0.47,0.0,0.25,0.0,1.05,1.91,0.14,0.19,1.04,1.41,0.37,0.78,0.04,0.26,0.0,0.0,0.0
0.47,0.0,0.27,0.0,1.06,1.96,0.16,0.18,1.03,1.45,0.3,0.79,0.1,0.25,0.0,0.0,0.0
0.42,0.0,0.2,0.0,1.08,1.89,0.16,0.21,1.04,1.48,0.35,0.8,0.16,0.28,0.0,0.0,0.0
