 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,pain_label
0.0,0.0,0.61,1.19,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.4,0.0,0.0,0.07,0.11,0.0,0
0.0,0.0,0.6,1.33,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.41,0.0,0.0,0.03,0.1,0.0,0
0.0,0.0,0.55,1.44,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.39,0.0,0.0,0.03,0.1,0.0,0
0.0,0.0,0.57,1.5,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.38,0.03,0.0,0.05,0.15,0.0,0
0.0,0.0,0.56,1.45,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.38,0.03,0.0,0.08,0.19,0.0,0
0.0,0.0,0.55,1.44,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.4,0.03,0.0,0.07,0.21,0.0,0
0.0,0.0,0.5,1.47,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.41,0.0,0.0,0.06,0.14,0.0,0
0.0,0.0,0.5,1.53,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.38,0.0,0.0,0.04,0.08,0.0,0
0.0,0.0,0.5,1.59,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.35,0.0,0.0,0.09,0.07,0.0,0
0.0,0.0,0.5,1.61,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.31,0.0,0.0,0.15,0.07,0.0,0
0.0,0.0,0.53,1.58,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.0,0.0,0.15,0.05,0.0,0
0.0,0.0,0.55,1.54,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.37,0.0,0.0,0.14,0.02,0.0,0
0.0,0.0,0.6,1.55,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.42,0.0,0.0,0.12,0.0,0.0,0
0.0,0.0,0.54,1.59,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.42,0.0,0.0,0.15,0.04,0.0,0
0.0,0.0,0.52,1.64,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.39,0.04,0.0,0.18,0.09,0.0,0
0.0,0.0,0.51,1.59,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.38,0.04,0.0,0.16,0.11,0.0,0
