 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,pain_label
0.01,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.32,0.96,0.0,0.0,0.5,0.1,1.11,0
0.01,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.33,1.0,0.0,0.0,0.56,0.13,1.02,0
0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.33,1.05,0.0,0.0,0.48,0.11,1.02,0
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.32,1.07,0.0,0.0,0.47,0.1,0.96,0
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.28,1.11,0.0,0.0,0.36,0.05,1.07,0
0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.25,1.06,0.0,0.0,0.34,0.03,0.98,0
0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.25,1.12,0.0,0.0,0.32,0.03,0.98,0
0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.23,1.09,0.0,0.0,0.31,0.15,0.93,0
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.17,1.05,0.0,0.0,0.33,0.21,1.03,0
0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.07,0.94,0.0,0.0,0.32,0.21,1.16,0
0.01,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.04,0.92,0.0,0.0,0.35,0.13,1.15,0
0.01,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.04,0.92,0.0,0.0,0.36,0.07,1.11,0
0.01,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.03,0.92,0.0,0.0,0.41,0.05,0.96,0
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.11,0.92,0.0,0.0,0.47,0.04,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.21,0.92,0.0,0.0,0.58,0.13,1.09,0
0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.26,1.03,0.0,0.0,0.66,0.21,1.18,0
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.18,1.06,0.0,0.0,0.63,0.28,1.21,0
0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.11,1.12,0.0,0.0,0.53,0.3,1.12,0
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.11,1.07,0.0,0.0,0.53,0.32,1.13,0
0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.1,1.06,0.0,0.0,0.56,0.37,1.07,0
0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.09,1.0,0.0,0.0,0.68,0.43,1.1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.08,1.07,0.0,0.0,0.6,0.42,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.59,0.43,1.03,0
0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.08,1.07,0.0,0.0,0.57,0.42,1.01,0
0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.05,0.96,0.0,0.0,0.56,0.45,1.02,0
0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.05,1.02,0.0,0.0,0.52,0.44,0.95,0
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.06,0.97,0.0,0.0,0.47,0.47,0.93,0
0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.1,1.01,0.0,0.0,0.48,0.49,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.1,1.02,0.0,0.0,0.57,0.51,1.04,0
0.03,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.13,0.99,0.0,0.0,0.61,0.48,1.18,0
0.03,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.14,0.92,0.0,0.0,0.72,0.44,1.17,0
0.03,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.16,0.85,0.0,0.0,0.75,0.48,1.24,0
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.12,0.85,0.0,0.0,0.77,0.44,1.21,0
0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.1,0.87,0.0,0.0,0.69,0.49,1.23,0
0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.04,0.9,0.0,0.0,0.66,0.38,1.13,0
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.11,0.94,0.0,0.0,0.54,0.37,1.05,0
0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.16,0.98,0.0,0.0,0.47,0.34,0.98,0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,1.02,0.0,0.0,0.4,0.41,1.08,0
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.17,1.06,0.0,0.0,0.4,0.47,1.1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,1.13,0.0,0.0,0.36,0.5,1.2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.09,1.17,0.0,0.0,0.28,0.47,1.22,0
0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.16,1.19,0.0,0.0,0.27,0.44,1.24,0
0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.21,1.2,0.0,0.0,0.29,0.45,1.22,0
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.23,1.2,0.0,0.0,0.34,0.46,1.16,0
